app,date,mb
BLOONS TOWER DEFENSE,Apr 2017,0
BLOONS TOWER DEFENSE,May 2017,0
BLOONS TOWER DEFENSE,Jun 2017,82
BLOONS TOWER DEFENSE,Jul 2017,63
BLOONS TOWER DEFENSE,Aug 2017,54
BLOONS TOWER DEFENSE,Sep 2017,0
SUDOKU,Sep 2016,0.01
SUDOKU,Oct 2016,0.01
SUDOKU,Nov 2016,0.01
SUDOKU,Dec 2016,0.012
SUDOKU,Jan 2017,0.003
SUDOKU,Feb 2017,0
SUDOKU,Mar 2017,0
SUDOKU,Apr 2017,0
SUDOKU,May 2017,0
SUDOKU,Jun 2017,0
SUDOKU,Jul 2017,0
SUDOKU,Aug 2017,0
SUDOKU,Sep 2017,0
AQUEDUCTS,Sep 2016,0.02
AQUEDUCTS,Oct 2016,0
AQUEDUCTS,Nov 2016,0
AQUEDUCTS,Dec 2016,0
AQUEDUCTS,Jan 2017,0
AQUEDUCTS,Feb 2017,0
AQUEDUCTS,Mar 2017,0
AQUEDUCTS,Apr 2017,0
AQUEDUCTS,May 2017,0
AQUEDUCTS,Jun 2017,0
AQUEDUCTS,Jul 2017,0
AQUEDUCTS,Aug 2017,0
AQUEDUCTS,Sep 2017,0
CHEF WARS,Sep 2016,0
CHEF WARS,Oct 2016,0
CHEF WARS,Nov 2016,0
CHEF WARS,Dec 2016,0
CHEF WARS,Jan 2017,0
CHEF WARS,Feb 2017,0
CHEF WARS,Mar 2017,0
CHEF WARS,Apr 2017,0
CHEF WARS,May 2017,0
CHEF WARS,Jun 2017,0
CHEF WARS,Jul 2017,0
CHEF WARS,Aug 2017,0
CHEF WARS,Sep 2017,1.28
KLEPTO-CATS,Sep 2016,0
KLEPTO-CATS,Oct 2016,0
KLEPTO-CATS,Nov 2016,2.82
KLEPTO-CATS,Dec 2016,1.73
KLEPTO-CATS,Jan 2017,0
KLEPTO-CATS,Feb 2017,0
KLEPTO-CATS,Mar 2017,0
KLEPTO-CATS,Apr 2017,0
KLEPTO-CATS,May 2017,0
KLEPTO-CATS,Jun 2017,0
KLEPTO-CATS,Jul 2017,0
KLEPTO-CATS,Aug 2017,0
KLEPTO-CATS,Sep 2017,0
NEKO ATSUME,Sep 2016,8.23
NEKO ATSUME,Oct 2016,6.54
NEKO ATSUME,Nov 2016,0.562
NEKO ATSUME,Dec 2016,0.48
NEKO ATSUME,Jan 2017,2.3
NEKO ATSUME,Feb 2017,0.145
NEKO ATSUME,Mar 2017,0
NEKO ATSUME,Apr 2017,0
NEKO ATSUME,May 2017,0
NEKO ATSUME,Jun 2017,0
NEKO ATSUME,Jul 2017,0
NEKO ATSUME,Aug 2017,0
NEKO ATSUME,Sep 2017,0
NOTICE ME SENPAI,Sep 2016,0
NOTICE ME SENPAI,Oct 2016,0
NOTICE ME SENPAI,Nov 2016,0
NOTICE ME SENPAI,Dec 2016,0
NOTICE ME SENPAI,Jan 2017,0
NOTICE ME SENPAI,Feb 2017,0
NOTICE ME SENPAI,Mar 2017,20.3
NOTICE ME SENPAI,Apr 2017,18.79
NOTICE ME SENPAI,May 2017,4.56
NOTICE ME SENPAI,Jun 2017,2.33
NOTICE ME SENPAI,Jul 2017,0
NOTICE ME SENPAI,Aug 2017,0
NOTICE ME SENPAI,Sep 2017,0
MINECRAFT,Sep 2016,0
